time | phase | epoch | batch | work | done | ETA | loss | card@1 | zone | tile | timing
01:14:54 | 4.2 | 2/10 | 825/3927 |  12.10% | 2,433,024/20,102,200 | 2h00m | 3.370 | — | — | — | —
01:14:59 | 4.2 | 2/10 | 850/3927 |  12.16% | 2,445,824/20,102,200 | 2h00m | 3.234 | — | — | — | —
01:15:05 | 4.2 | 2/10 | 875/3927 |  12.23% | 2,458,624/20,102,200 | 2h00m | 3.212 | — | — | — | —
01:15:10 | 4.2 | 2/10 | 900/3927 |  12.29% | 2,471,424/20,102,200 | 2h00m | 3.290 | — | — | — | —
01:15:16 | 4.2 | 2/10 | 925/3927 |  12.36% | 2,484,224/20,102,200 | 2h00m | 3.402 | — | — | — | —
01:15:21 | 4.2 | 2/10 | 950/3927 |  12.42% | 2,497,024/20,102,200 | 2h00m | 3.224 | — | — | — | —
01:15:26 | 4.2 | 2/10 | 975/3927 |  12.48% | 2,509,824/20,102,200 | 2h00m | 3.241 | — | — | — | —
01:15:32 | 4.2 | 2/10 | 1000/3927 |  12.55% | 2,522,624/20,102,200 | 2h00m | 3.172 | — | — | — | —
01:15:38 | 4.2 | 2/10 | 1025/3927 |  12.61% | 2,535,424/20,102,200 | 2h00m | 3.340 | — | — | — | —
01:15:44 | 4.2 | 2/10 | 1050/3927 |  12.67% | 2,548,224/20,102,200 | 2h00m | 3.162 | — | — | — | —
01:15:49 | 4.2 | 2/10 | 1075/3927 |  12.74% | 2,561,024/20,102,200 | 2h00m | 3.193 | — | — | — | —
01:15:54 | 4.2 | 2/10 | 1100/3927 |  12.80% | 2,573,824/20,102,200 | 1h59m | 3.178 | — | — | — | —
01:15:59 | 4.2 | 2/10 | 1125/3927 |  12.86% | 2,586,624/20,102,200 | 1h59m | 3.224 | — | — | — | —
01:16:05 | 4.2 | 2/10 | 1150/3927 |  12.93% | 2,599,424/20,102,200 | 1h59m | 3.322 | — | — | — | —
01:16:11 | 4.2 | 2/10 | 1175/3927 |  12.99% | 2,612,224/20,102,200 | 1h59m | 3.273 | — | — | — | —
